Concentration,Requirement,RequirementKey
Software Engineering,Theoretical/mathematical foundations,TMF
Software Engineering,Data communications,DCOM
Software Engineering,Distributed computing,DC
Software Engineering,Systems programming,SP
Software Engineering,Software design,SD
Software Engineering,Web application development,WAD
Software Engineering,Capstone,CP
Software Engineering,Electives,E
Information Management Systems,Web principles,WP
Information Management Systems,Data communications,DCOM
Information Management Systems,Distributed computing,DC
Information Management Systems,Security and risk management,SRM
Information Management Systems,Database management,DM
Information Management Systems,Information technology management,MGMT
Information Management Systems,Capstone,CAP
Information Management Systems,Electives,E
Mathematics And Computation,Algorithms,AL
Mathematics And Computation,Programming,P
Mathematics And Computation,Advanced calculus,AC
Mathematics And Computation,Linear algebra,LA
Mathematics And Computation,Theoretical/mathematical foundations,TMF
Mathematics And Computation,Electives,E
Digital Media And Instructional Design,Computational design,CD
Digital Media And Instructional Design,Digital media,DIGM
Digital Media And Instructional Design,Education and instructional design,EID
Digital Media And Instructional Design,Web design and application development,WDD
Digital Media And Instructional Design,Electives,E
