Concentration,Requirement,RequirementCount,Admission,Thesis,Capstone
Software Engineering,Theoretical/Mathematical Foundations,1,TRUE,TRUE,FALSE
Software Engineering,Data Communications,1,FALSE,TRUE,FALSE
Software Engineering,Distributed Computing,1,FALSE,TRUE,FALSE
Software Engineering,Systems Programming,1,FALSE,TRUE,FALSE
Software Engineering,Software Design,1,FALSE,TRUE,FALSE
Software Engineering,Web Application Development,1,FALSE,FALSE,TRUE
Software Engineering,Concentration Electives,4,FALSE,TRUE,FALSE
Software Engineering,Concentration Electives,5,FALSE,FALSE,TRUE
Software Engineering,Capstone,1,FALSE,FALSE,TRUE
Information Management Systems,Web Principles,1,FALSE,TRUE,FALSE
Information Management Systems,Data Communications,1,FALSE,TRUE,FALSE
Information Management Systems,Distributed Computing,1,FALSE,TRUE,FALSE
Information Management Systems,Security And Risk Management,1,FALSE,TRUE,FALSE
Information Management Systems,Database Management,1,FALSE,TRUE,FALSE
Information Management Systems,Information Technology Management,1,FALSE,TRUE,FALSE
Information Management Systems,Capstone,1,FALSE,FALSE,TRUE
Information Management Systems,Concentration Electives,5,FALSE,TRUE,FALSE
Digital Media And Instructional Design,Computational Design,1,TRUE,TRUE,FALSE
Digital Media And Instructional Design,It Digital Media,2,FALSE,TRUE,FALSE
Digital Media And Instructional Design,Education And Instructional Design,1,FALSE,TRUE,FALSE
Digital Media And Instructional Design,Web Design And Application Development,2,FALSE,TRUE,FALSE
Digital Media And Instructional Design,Concentration Electives,3,FALSE,TRUE,FALSE
Digital Media And Instructional Design,Capstone,1,FALSE,FALSE,TRUE
