Term,CourseID,CourseNumber,Title,Instructor,Day,Time,Location,CourseType,EnrollLimit,Attributes
Fall 2014,14289,CSCIE-10A,Introduction to Computer Science Using Java I,Henry H. Leitner,N/A,N/A,N/A,Online Only,No limit,"CD, E"
Fall 2014,14291,CSCIE-15,Dynamic Web Applications,Susan Buck,Thur,5:30 – 7:30 pm,Maxwell-Dworkin G115,Online Option,No limit,"WDD, E"
Fall 2014,14297,CSCIE-18,Web Development Using XML,David P. Heitmeyer,Mon,7:40 – 9:40 pm,1 Story Street 306,Online Option,No limit,"WDD, E"
Fall 2014,14294,CSCIE-26,"Introduction to C, Unix/Linux Programming, and Web Interfaces",Bruce Molay,Wed,7:40 – 9:40 pm,Science Center B-10,On Campus Only,No limit,E
Fall 2014,14557,CSCIE-34,User Experience Engineering,David S. Platt,Mon,7:40 – 9:40 pm,Maxwell-Dworkin G125,Online Option,No limit,E
Fall 2014,14290,CSCIE-50,Intensive Introduction to Computer Science,David J. Malan,N/A,N/A,N/A,Online Only,200,"CD, E"
Fall 2014,14298,CSCIE-55,Java for Distributed Computing,"Charles M. Sawyer, Jr.",Wed,7:40 – 9:40 pm,Byerly Hall 013,Online Option,No limit,E
Fall 2014,14325,CSCIE-56,Web Application Development with Groovy and Grails,Burt Beckwith,Wed,5:30 – 7:30 pm,53 Church Street L01,Online Option,No limit,"WDD, E"
Fall 2014,14307,CSCIE-60,Developing Web-Based Database Applications,Maria R. Garcia Altobello,Wed,5:30 – 7:30 pm,Maxwell-Dworkin G125,Online Option,No limit,"WDD, E"
Fall 2014,13836,CSCIE-61,Systems Programming and Machine Organization,Eddie Kohler,N/A,N/A,N/A,Online Only,No limit,E
Fall 2014,14300,CSCIE-90,Cloud Computing,Zoran B. Djordjevic,Fri,5:30 – 7:30 pm,1 Story Street 306,Online Option,No limit,E
Fall 2014,14496,DGMDE-10,Exposing Digital Photography,Daniel Armendariz,Wed,7:40 – 9:40 pm,Northwest Science Building B101,Online Option,No limit,"DIGM, E"
Fall 2014,14283,DGMDE-20,Understanding and Developing Interactive Media,Jennifer A. Kramer,N/A,N/A,N/A,Online Only,No limit,"DIGM, E"
Fall 2014,14285,DGMDE-30,Video Field Production,Allyson Sherlock,Tues,5:30 – 8:30 pm,53 Church Street 104,On Campus Only,30,"DIGM, E"
Fall 2014,14490,DGMDE-38,Lighting for Video and Post-Production FX Editing,Padrick Ritch,Thur,7:40 – 9:40 pm,53 Church Street 203,On Campus Only,20,"DIGM, E"
Fall 2014,14286,DGMDE-40,Hybrid: Producing Educational Video,Marlon Kuzmick,Sun,9 am – 1 pm,One Brattle Square 202,Hybrid,30,"DIGM, E"
Fall 2014,14021,EDUCE-103,Introduction to Instructional Design,Stacie Cassat Green & Denise M. Snyder,Sat,10 am – 1:15 pm,Pierce Hall 301,On Campus Only,No limit,"EID, E"
Fall 2014,12917,ISMTE-150,Introduction to GIS,Wendy Guan,Thur,5:30 – 7:30 pm,N/A,Web-Conference Course,20,E
January 2015,24269,DGMDE-27,Beyond the Basics of Front-End Web Design,Jennifer A. Kramer,"Mon, Tues, Wed, Thur",9 am – 12 pm,53 Church Street 104,On Campus Only,30,"WDD, E"
January 2015,23630,EXPOE-48,Multimedia Communication: Introduction to Digital Storytelling,Marlon Kuzmick,"Mon, Tues, Wed, Thur",5:30 – 8:30 pm,53 Church Street 104,On Campus Only,30,"EID, E"
Spring 2015,24095,CSCIE-3,Introduction to Web Programming Using JavaScript,Larry Bouthillier,Tues,5:30 – 7:30 pm,Maxwell-Dworkin G115,Online Option,No limit,"CD, E"
Spring 2015,24031,CSCIE-8,Web GIS: Principles and Applications,Pinde Fu,Thur,7:40 – 9:40 pm,N/A,Web-Conference Course,50,E
Spring 2015,24027,CSCIE-10B,Introduction to Computer Science Using Java II,Henry H. Leitner,Mon,5:30 – 7:30 pm,Maxwell-Dworkin G115,Online Option,No limit,"CD, E"
Spring 2015,21144,CSCIE-12,Fundamentals of Website Development,David P. Heitmeyer,Tues,7:40 – 9:40 pm,Maxwell-Dworkin G115,Online Option,No limit,"WDD, E"
Spring 2015,24107,CSCIE-50,Intensive Introduction to Computer Science,David J. Malan,N/A,N/A,N/A,Online Only,200,"CD, E"
Spring 2015,24043,CSCIE-51,Abstraction and Design in Computation,John Gregory Morrisett,N/A,N/A,N/A,Online Only,No limit,E
Spring 2015,24036,CSCIE-55,Java for Distributed Computing,"Charles M. Sawyer, Jr.",N/A,N/A,N/A,Online Only,No limit,E
Spring 2015,24228,CSCIE-64,Mobile and Cloud Computing,Joseph Ficara,Thur,7:40 – 9:40 pm,Maxwell-Dworkin G125,Online Option,No limit,E
Spring 2015,24046,CSCIE-66,Database Systems,David G. Sullivan,Wed,7:40 – 9:40 pm,1 Story Street 306,Online Option,No limit,E
Spring 2015,24028,CSCIE-171,Visualization,Alexander Lex,N/A,N/A,N/A,Online Only,No limit,E
Spring 2015,24221,DGMDE-5,Exploring Digital Media,John Selig,Wed,7:40 – 9:40 pm,Harvard Hall 202,On Campus Only,No limit,"DIGM, E"
Spring 2015,24025,DGMDE-15,Creative Explorations in Screen-Based and Physical Computing,Bakhtiar Mikhak & Alec Michael Resnick,Thur,5:30 – 7:30 pm,53 Church Street 104,On Campus Only,30,"CD, E"
Spring 2015,24048,DGMDE-25,Introduction to Web Content Management Systems Site Development,Jennifer A. Kramer,N/A,N/A,N/A,Online Only,No limit,"WDD, E"
Spring 2015,24026,DGMDE-35,Video Editing and Digital Design,Allyson Sherlock,Tues,5:30 – 8:30 pm,53 Church Street 104,On Campus Only,30,"DIGM, E"
Spring 2015,24247,DGMDE-599,Capstone Design Studio,Allyson Sherlock,Mon,5:30 – 7:30 pm,53 Church Street 104,On Campus Only,20,DCAP
Spring 2015,24013,ENSCE-105,Engineering Innovation with Information Technology,Wego Wang,Wed,7:40 – 9:40 pm,N/A,Web-Conference Course,40,E
Spring 2015,24259,EXPOE-48,Hybrid: Multimedia Communication—Introduction to Digital Storytelling,Marlon Kuzmick,N/A,N/A,N/A,Hybrid,30,"EID, E"
Spring 2015,24313,ISMTE-155,Geographic Communication Today,Jeff Blossom,Mon,5:30 – 7:30 pm,N/A,Web-Conference Course,30,E
Spring 2015,24279,ISMTE-170,Human Factors in Information Systems Design,Dennis F. Galletta,Mon,7:40 – 9:40 pm,N/A,Web-Conference Course,35,"EID, E"
Summer 2014,33214,CSCIS-15,Dynamic Web Applications,Susan Buck,"Tues, Thur",6:30 – 9:30 pm,Northwest Science Building B103,On Campus Only,No limit,"WDD, E"
Summer 2014,32344,CSCIS-111,Intensive Introduction to Computer Science Using Java,David G. Sullivan,"Mon, Tues, Wed, Thur, Fri",8:30 am – 11:30 am,Maxwell-Dworkin G115,On Campus Only,No limit,"CD, E"
Summer 2014,33157,DGMDS-5,Exploring Digital Media,John Selig,"Mon, Wed",12 – 3 pm,Harvard Hall 201,On Campus Only,No limit,"DIGM, E"
Summer 2014,33105,DGMDS-30,Video Field Production,Allyson Sherlock,"Mon, Wed",6:30 – 9:30 pm,53 Church Street 104,On Campus Only,30,"DIGM, E"
Summer 2014,32686,EXPOS-48,Multimedia Communication: Introduction to Digital Storytelling,Marlon Kuzmick,"Mon, Wed",12 – 3 pm,53 Church Street 104,On Campus Only,15,"EID, E"
Summer 2014,32596,ISMTS-170,Human Factors in Information Systems Design,Dennis F. Galletta,"Tues, Thur",6:30 – 9:30 pm,Northwest Science Building B108,On Campus Only,44,"EID, E"
Summer 2014,33209,MUSIS-190R,Technomusicology,Wayne G. Marshall,"Tues, Thur",6:30 – 9:30 pm,53 Church Street 202,On Campus Only,No limit,E
Summer 2014,33175,STATS-110,Introduction to Probability,Kevin A. Rader,"Mon, Wed",3:15 – 6:15 pm,1 Story Street 306,Online Option,No limit,E
