Term,CourseID,CourseNumber,Title,Instructor,Day,Time,Location,CourseType,EnrollLimit,Attributes
Fall 2014,14291,CSCIE-15,Dynamic Web Applications,Susan Buck,Thur,5:30 – 7:30 pm,Maxwell-Dworkin G115,Online Option,No limit,"WAD, E"
Fall 2014,14297,CSCIE-18,Web Development Using XML,David P. Heitmeyer,Mon,7:40 – 9:40 pm,1 Story Street 306,Online Option,No limit,"WAD, E"
Fall 2014,14469,CSCIE-24,Numerical Analysis,Jeff Parker,Wed,7:40 – 9:40 pm,1 Story Street 304,Online Option,No limit,"TMF, E"
Fall 2014,14294,CSCIE-26,"Introduction to C, Unix/Linux Programming, and Web Interfaces",Bruce Molay,Wed,7:40 – 9:40 pm,Science Center B-10,On Campus Only,No limit,E
Fall 2014,14310,CSCIE-33,Programming Microsoft .NET,David S. Platt,Tues,7:40 – 9:40 pm,53 Church Street L01,Online Option,No limit,E
Fall 2014,14557,CSCIE-34,User Experience Engineering,David S. Platt,Mon,7:40 – 9:40 pm,Maxwell-Dworkin G125,Online Option,No limit,E
Fall 2014,14296,CSCIE-40,Communication Protocols and Internet Architectures,Leonard Evenchik,Mon,5:30 – 7:30 pm,53 Church Street L01,Online Option,No limit,"DCOM, E"
Fall 2014,14299,CSCIE-45A,"The Cyber World: Hardware, Software, Networks, Security, and Management",Scott Bradner & Benoit Gaucherin,Fri,5:30 – 7:30 pm,Maxwell-Dworkin G125,Online Option,No limit,"DCOM, E"
Fall 2014,14298,CSCIE-55,Java for Distributed Computing,"Charles M. Sawyer, Jr.",Wed,7:40 – 9:40 pm,Byerly Hall 013,Online Option,No limit,"DC, E"
Fall 2014,14325,CSCIE-56,Web Application Development with Groovy and Grails,Burt Beckwith,Wed,5:30 – 7:30 pm,53 Church Street L01,Online Option,No limit,"WAD, E"
Fall 2014,14307,CSCIE-60,Developing Web-Based Database Applications,Maria R. Garcia Altobello,Wed,5:30 – 7:30 pm,Maxwell-Dworkin G125,Online Option,No limit,"WAD, E"
Fall 2014,13836,CSCIE-61,Systems Programming and Machine Organization,Eddie Kohler,N/A,N/A,N/A,Online Only,No limit,"SP, E"
Fall 2014,14300,CSCIE-90,Cloud Computing,Zoran B. Djordjevic,Fri,5:30 – 7:30 pm,1 Story Street 306,Online Option,No limit,"DC, E"
Fall 2014,14532,CSCIE-93,Computer Architecture,James L. Frankel,Tues,7:40 – 9:40 pm,1 Story Street 302,Online Option,40,"TMF, E"
Fall 2014,14306,CSCIE-97,"Software Design: Principles, Models, and Patterns",Eric Gieseke,Thur,7:40 – 9:40 pm,1 Story Street 304,Online Option,No limit,"SD, E"
Fall 2014,14531,CSCIE-98,Managed Environments for the Execution of Programs,Philip McGachey,Mon,5:30 – 7:30 pm,1 Story Street 304,Online Option,No limit,"SD, E"
Fall 2014,14328,CSCIE-109,Data Science,Rafael Irizarry & Verena S Kaynig-Fittkau,N/A,N/A,N/A,Online Only,60,"TMF, E, DSCI"
Fall 2014,14302,CSCIE-121,Introduction to the Theory of Computation,Harry R. Lewis,N/A,N/A,N/A,Online Only,No limit,"TMF, E"
Fall 2014,14549,CSCIE-207,Systems Development for Computational Science,Cristopher Cecka & Thouis Ray Jones,N/A,N/A,N/A,Online Only,No limit,"SP, E, DSCI"
Fall 2014,14331,ENSCE-130,Introduction to MEMS with BioMEMS,Fawwaz Habbal,Tues,5:30 – 7:30 pm,Maxwell-Dworkin G125,Online Option,No limit,E
Fall 2014,12806,ENSCE-150,Introduction to Nanobiotechnology: Concepts and Applications,Anas Chalah,Mon,5:30 – 7:30 pm,Pierce Hall 209,Online Option,No limit,E
Fall 2014,13313,MATHE-23A,Linear Algebra and Real Analysis I,Paul G. Bamberg,"Tues, Thur",2:30 – 4 pm,N/A,On Campus Only,No limit,E
Fall 2014,14512,MATHE-156,Mathematical Foundations of Statistical Software,Paul G. Bamberg,Mon,2 – 4:30 pm,N/A,On Campus Only,No limit,"TMF, E, DSCI"
